Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Indonesia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,5,6,7,9,9,10,14,21,21,22,24,29,32,34,38,40,50,56
Indonesia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,11,11,13,17,17,25,31,37,40,42,67,77,74,72,69,60,61,59
Indonesia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,7,7,9,12,12,19,24,28,30,31,53,61,57,53,46,41,42,40
Indonesia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,48,48,44
Indonesia,General government expenditure ,Million NCU,"231,311,550","349,321,830","335,443,090","398,078,950","445,297,690","526,114,280","671,708,930","804,822,770","1,050,154,510","1,023,520,330","1,159,098,280","1,387,241,120","1,622,837,250","1,821,515,840","1,966,625,290","2,014,591,080","2,086,438,830","2,250,751,430"
Maldives,Current Health Expenditure (CHE) per Capita in US$,,221,230,247,236,296,322,387,462,755,668,603,586,648,675,716,854,"1,053","1,007"
Maldives,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,9,7,7,9,8,8,11,10,8,8,9,8,8,9,10,9
Maldives,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,99,99,100,98,99,99,97,95,97,96,96,99,99,100,100,100
Maldives,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,63,57,52,54,60,56,50,47,33,34,40,40,32,32,28,20,19,21
Maldives,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,2,2,3,3,4,6,6,4,4,4,4,5,6,7,6
Maldives,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,73,75,72,75,91,108,142,218,421,385,319,272,315,357,444,615,760,720
Maldives,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,148,155,173,159,203,207,240,238,313,247,263,290,310,312,268,238,290,287
Maldives,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,139,132,128,127,176,179,193,218,250,229,242,233,209,218,202,167,200,208
Maldives,General government expenditure ,Million NCU,"2,736","2,896","3,131","3,524","3,758","5,740","7,017","8,289","10,300","11,090","10,947","12,129","12,994","13,829","19,070","21,390","24,447","22,182"
Myanmar,Current Health Expenditure (CHE) per Capita in US$,,3,3,5,5,5,6,6,7,11,14,15,20,28,37,53,62,58,58
Myanmar,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,5
Myanmar,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,97,96,93,90,90,87,92,91,91,91,89,94,91,90,92,91,91
Myanmar,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,86,86,82,83,79,83,75,82,82,82,81,77,77,72,66,70,77,76
Myanmar,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Myanmar,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,0,0,1,1,1,0,1,1,1,1,1,2,5,7,13,14,8,9
Myanmar,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,3,3,4,4,4,5,5,6,9,11,12,16,21,27,35,44,45,44
Myanmar,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,3,3,4,4,4,5,5,6,9,11,12,16,21,27,35,44,45,44
Myanmar,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21
Myanmar,General government expenditure ,Million NCU,"563,558","638,906","812,662","1,164,210","1,361,060","1,871,400","2,825,540","3,701,340","3,855,230","4,765,070","5,801,200","6,198,010","9,684,390","13,212,560","16,214,490","17,350,390","17,006,360","17,859,060"
Nepal,Current Health Expenditure (CHE) per Capita in US$,,9,11,11,11,13,15,14,18,19,21,30,34,34,35,41,45,45,48
Nepal,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,5,5,4,4,4,4,5,5,5,5,6,6,6,6
Nepal,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,78,73,78,77,75,76,74,86,85,84,86,89,87,88,86,86,88,85
Nepal,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,56,51,52,54,52,49,43,61,62,58,56,58,56,64,60,59,55,58
Nepal,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nepal,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,1,2,2,2,2,3,3,3,4,4,5,6,6,6,7,8,8,11
Nepal,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,5,6,6,7,8,8,7,12,13,14,20,24,23,25,28,31,32,30
Nepal,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,5,5,6,6,7,7,6,11,12,12,17,20,19,22,25,27,25,28
Nepal,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,,,,,,,,,,,,,100,100,100,100,100
Nepal,General government expenditure ,Million NCU,"53,122","64,983","68,090","67,137","72,239","81,006","83,333","108,793","124,584","191,418","223,868","254,861","294,851","302,054","370,226","428,251","494,549","727,276"
Sri Lanka,Current Health Expenditure (CHE) per Capita in US$,,44,41,43,42,51,57,65,74,93,101,109,119,114,139,139,151,153,159
Sri Lanka,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
Sri Lanka,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,99,100,99,99,99,98,99,99,99,99,99,100,99,99,99,99,99
Sri Lanka,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,40,41,40,38,41,41,41,45,51,53,53,51,52,49,49,49,50,50
Sri Lanka,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
Sri Lanka,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,23,22,23,23,27,30,33,36,40,41,44,51,48,63,62,67,66,68
Sri Lanka,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,20,19,20,19,24,27,30,37,52,59,63,68,65,75,75,83,86,89
Sri Lanka,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,18,17,17,16,21,23,27,33,47,54,58,61,59,68,68,74,77,79
Sri Lanka,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,General government expenditure ,Million NCU,"334,398","385,824","402,600","417,064","476,548","584,550","713,474","841,454","995,910","1,201,930","1,280,210","1,433,180","1,556,500","1,650,700","1,850,240","2,228,820","2,333,880","2,573,060"
Thailand,Current Health Expenditure (CHE) per Capita in US$,,62,57,70,77,83,91,104,127,151,152,172,196,206,213,219,214,225,247
Thailand,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,4,4,4
Thailand,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Thailand,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,34,34,28,27,26,28,18,15,15,16,14,13,13,13,13,13,11,11
Thailand,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
Thailand,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,34,32,44,48,54,58,75,96,114,111,127,150,157,162,166,161,171,188
Thailand,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,28,26,26,28,30,33,29,31,37,41,45,46,49,51,53,53,54,58
Thailand,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,21,19,19,21,22,25,18,19,22,24,25,25,28,27,28,27,26,28
Thailand,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33
Thailand,General government expenditure ,Million NCU,"684,625","841,488","1,164,962","938,395","1,077,327","1,166,146","1,265,548","1,502,231","1,655,900","1,778,335","1,881,851","2,195,514","2,301,137","2,465,631","2,553,428","2,553,947","2,761,953","2,932,247"
Timor-Leste,Current Health Expenditure (CHE) per Capita in US$,,,,,14,19,24,26,29,42,49,51,63,70,82,79,87,80,83
Timor-Leste,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,,3,2,1,1,1,1,2,1,1,1,2,2,3,4,4
Timor-Leste,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,,92,79,79,64,36,60,53,63,62,69,73,76,77,68,78
Timor-Leste,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,,,,41,35,33,22,18,12,9,12,10,9,9,9,8,9,8
Timor-Leste,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,,,,1,1,1,0,0,1,1,1,1,1,1,1,2,2,3
Timor-Leste,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,,,,7,7,10,10,5,20,22,26,33,42,52,49,57,45,55
Timor-Leste,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,,,,7,7,9,6,5,5,4,6,6,7,7,10,11,10,10
Timor-Leste,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,,,,6,7,8,6,5,5,4,6,6,7,7,7,7,7,7
Timor-Leste,General government expenditure ,Million NCU,,,,393,327,270,272,412,793,886,"1,070","1,389","1,501","1,342","1,606","1,559","1,811","1,372"
Australia,Current Health Expenditure (CHE) per Capita in US$,,"1,632","1,558","1,764","2,241","2,758","3,004","3,177","3,794","4,089","3,998","4,953","5,877","6,047","5,838","5,638","4,888","5,000","5,332"
Australia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,8,8,8,8,8,8,8,9,8,9,9,9,9,9,9,9
Australia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Australia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,21,20,20,19,19,20,20,19,19,19,20,19,20,20,20,19,18,18
Australia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,5,5,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6
Australia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,"1,116","1,056","1,210","1,525","1,885","2,055","2,170","2,630","2,821","2,770","3,399","4,068","4,084","3,944","3,797","3,334","3,430","3,674"
Australia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,516,502,553,716,873,949,"1,007","1,165","1,268","1,227","1,553","1,809","1,963","1,894","1,840","1,554","1,570","1,658"
Australia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,343,318,351,429,530,590,628,721,779,762,978,"1,127","1,205","1,151","1,103",926,917,968
Australia,General government expenditure ,Million NCU,"242,066","260,186","273,158","289,805","311,553","333,388","359,172","388,671","433,350","477,739","504,048","532,414","553,779","572,247","594,689","613,017","636,584","658,627"
Brunei Darussalam,Current Health Expenditure (CHE) per Capita in US$,,508,465,473,535,619,646,655,703,789,742,803,876,882,847,795,739,686,671
Brunei Darussalam,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2
Brunei Darussalam,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Brunei Darussalam,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,16,17,16,17,17,16,15,13,10,9,8,8,9,9,7,5,5,5
Brunei Darussalam,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,428,387,395,444,514,541,559,613,709,671,737,802,804,767,737,702,652,637
Brunei Darussalam,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,80,78,78,91,105,106,96,90,80,70,66,74,78,80,58,37,34,35
Brunei Darussalam,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,80,78,78,91,105,106,96,90,80,70,66,74,78,80,58,37,34,35
Brunei Darussalam,General government expenditure ,Million NCU,"4,298","3,945","4,803","3,910","4,888","5,107","5,652","5,998","6,141","6,026","6,762","6,923","7,377","7,603","7,385","6,876","6,197","6,125"
Cambodia,Current Health Expenditure (CHE) per Capita in US$,,20,23,25,25,29,32,33,31,49,56,54,66,69,72,73,72,78,82
Cambodia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,7,7,7,6,5,7,8,7,8,7,7,7,6,6,6
Cambodia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,98,93,92,89,84,86,80,70,84,84,86,89,81,81,77,80,81,85
Cambodia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,69,62,61,62,56,61,52,49,51,51,52,60,60,61,59,57,59,60
Cambodia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,4,4,5,5,6,6,5,6,8,9,11,11,13,14,14,16,17,20
Cambodia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,15,17,18,17,19,22,21,15,34,38,36,48,42,44,43,42,46,50
Cambodia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,14,14,15,16,16,20,17,15,25,28,28,40,42,44,43,41,45,50
Cambodia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,,,,,,,,0,0,0,0,0,100,,,0,0,0
Cambodia,General government expenditure ,Million NCU,"2,118,700","2,365,730","2,832,530","2,919,100","2,972,360","3,175,970","3,866,220","5,047,330","6,455,690","8,783,420","9,834,670","10,723,320","12,288,370","13,103,290","14,646,190","15,375,510","18,051,060","20,835,070"
China,Current Health Expenditure (CHE) per Capita in US$,,42,44,49,56,64,72,82,98,133,164,188,238,284,328,362,393,398,441
China,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5
China,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
China,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,60,64,63,61,59,58,56,51,47,43,41,40,39,38,37,35,36,36
China,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3
China,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,9,10,13,16,19,24,29,38,59,81,97,128,158,187,211,236,231,250
China,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,33,34,37,40,44,49,53,59,73,83,90,110,125,141,150,156,167,191
China,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,25,28,31,34,37,42,46,50,63,71,77,96,111,125,132,138,143,159
China,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,72,49,38,31,28,27,26,24,26,30,31,36,37,37,33,36,30,28
China,General government expenditure ,Million NCU,"1,623,550","1,925,160","2,240,220","2,499,900","2,883,590","3,427,930","4,027,170","4,909,840","7,164,540","8,918,780","10,251,180","13,128,590","15,178,680","17,034,250","18,745,460","21,896,920","23,809,550","26,234,660"
Cook Islands,Current Health Expenditure (CHE) per Capita in US$,,163,184,221,271,331,386,352,429,402,400,478,533,528,552,597,467,576,589
Cook Islands,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3
Cook Islands,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,97,96,95,90,82,93,84,92,96,94,95,96,91,92,98,88,92
Cook Islands,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,7,6,6,7,7,5,6,6,8,5,6,6,7,7,7,8,6,7
Cook Islands,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cook Islands,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,151,167,199,237,274,297,305,337,337,363,420,470,470,466,508,424,470,501
Cook Islands,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,12,11,13,19,23,20,23,26,31,22,28,34,35,38,40,36,37,39
Cook Islands,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,12,11,13,19,23,20,23,26,31,22,28,34,35,38,40,36,37,39
Cook Islands,General government expenditure ,Million NCU,63,75,79,81,84,86,96,93,96,114,117,144,136,151,191,204,205,216
Fiji,Current Health Expenditure (CHE) per Capita in US$,,77,64,73,91,118,129,136,151,144,129,135,148,161,165,185,174,180,188
Fiji,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,3,3,3,4,4,4,4,3,4,4,3,4,3,4,4,4,4
Fiji,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,92,90,91,93,86,91,95,96,94,93,94,95,93,95,96,97,97,98
Fiji,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,11,13,12,13,13,12,14,16,17,25,22,25,25,23,20,21,21,16
Fiji,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2
Fiji,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,59,46,54,68,80,96,101,109,100,80,86,89,94,97,113,110,115,125
Fiji,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,12,12,13,17,22,22,29,37,35,40,40,52,56,60,64,60,59,59
Fiji,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,8,8,9,12,15,16,20,24,24,32,30,38,40,37,37,37,37,29
Fiji,General government expenditure ,Million NCU,965,"1,081","1,196","1,228","1,227","1,285","1,445","1,384","1,375","1,593","1,659","1,964","2,005","2,095","2,666","2,926","2,825","3,261"
Japan,Current Health Expenditure (CHE) per Capita in US$,,"2,740","2,480","2,404","2,642","2,876","2,883","2,754","2,772","3,213","3,686","4,060","5,087","5,212","4,336","4,099","3,734","4,175","4,169"
Japan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,7,7,7,8,8,8,8,8,8,9,9,11,11,11,11,11,11,11
Japan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Japan,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,16,16,16,17,17,16,16,16,15,15,15,13,13,13,13,13,13,13
Japan,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,6,6,6,6,6,6,6,6,7,7,8,9,9,9,9,9,9,9
Japan,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,"2,204","2,008","1,942","2,113","2,308","2,340","2,212","2,253","2,608","2,996","3,326","4,260","4,375","3,654","3,448","3,139","3,508","3,506"
Japan,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,536,472,463,529,567,543,542,520,605,689,734,827,838,682,651,594,666,663
Japan,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,436,391,384,446,477,452,452,430,490,559,592,668,676,551,528,483,537,536
Japan,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,45,45,45,45,45,45,45,45,45,45,45,47,44,44,45,45,45,45
Japan,General government expenditure ,Million NCU,"197,623,531","193,438,528","192,967,084","191,156,443","185,897,168","186,135,200","184,583,500","186,530,300","191,125,600","199,345,500","198,184,200","201,021,000","201,405,100","205,447,200","207,024,900","209,556,100","210,124,700","212,021,800"
Kiribati,Current Health Expenditure (CHE) per Capita in US$,,69,91,98,108,140,140,135,157,201,177,140,149,154,162,161,122,145,171
Kiribati,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,9,12,12,11,12,12,12,11,14,13,9,9,9,9,10,8,9,11
Kiribati,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,99,98,99,99,99,85,83,77,66,95,98,93,86,86,89,83,79
Kiribati,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,8,12,11,10,12,11,10,9,11,9,8,8,8,8,8,7,7,8
Kiribati,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,67,87,94,104,136,135,112,127,150,113,128,141,136,133,134,104,116,130
Kiribati,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,2,2,2,3,3,4,3,4,5,4,5,6,6,5,5,5,5,5
Kiribati,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,General government expenditure ,Million NCU,85,127,133,125,147,143,102,114,130,139,139,155,175,175,225,232,275,288
Lao People's Democratic Republic,Current Health Expenditure (CHE) per Capita in US$,,14,15,13,18,17,18,20,25,27,36,35,28,33,44,46,53,55,62
Lao People's Democratic Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,3
Lao People's Democratic Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,90,79,84,86,78,80,72,76,78,80,83,72,73,81,83,83,82,83
Lao People's Democratic Republic,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,45,44,50,55,47,44,41,35,31,27,36,53,49,49,51,45,46,46
Lao People's Democratic Republic,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Lao People's Democratic Republic,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,4,5,4,4,4,5,4,5,5,12,7,5,7,13,14,19,18,22
Lao People's Democratic Republic,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,9,7,7,11,9,9,10,15,16,17,22,15,17,23,25,25,27,30
Lao People's Democratic Republic,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,6,6,7,10,8,8,8,9,9,10,13,14,16,21,24,24,26,29
Lao People's Democratic Republic,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,General government expenditure ,Million NCU,"2,822,400","3,427,630","3,082,810","4,016,600","3,721,040","5,124,350","5,937,910","7,192,400","7,768,050","10,056,420","13,833,220","14,972,580","17,315,750","23,700,880","25,738,600","26,933,020","26,455,000","30,921,000"
Malaysia,Current Health Expenditure (CHE) per Capita in US$,,111,115,122,143,155,164,204,235,270,251,293,352,381,389,423,374,356,374
Malaysia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Malaysia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Malaysia,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,41,36,35,35,36,38,35,35,36,33,35,35,34,34,33,33,34,34
Malaysia,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Malaysia,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,52,58,62,74,79,80,109,124,142,139,154,186,204,209,230,200,183,194
Malaysia,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,60,57,60,69,76,84,94,111,127,112,139,166,177,180,192,175,174,180
Malaysia,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,46,41,43,50,56,63,71,83,97,82,101,122,128,132,141,125,123,128
Malaysia,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,General government expenditure ,Million NCU,"99,496","108,379","113,290","128,022","133,642","139,711","159,865","180,421","217,105","230,643","221,643","250,477","280,792","286,992","291,279","290,800","283,652","295,972"
Marshall Islands,Current Health Expenditure (CHE) per Capita in US$,,423,385,367,365,446,581,606,517,502,476,489,495,515,539,522,601,666,642
Marshall Islands,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,20,17,15,15,17,22,21,18,17,16,15,15,14,15,15,18,18,16
Marshall Islands,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,64,63,61,59,53,38,32,55,49,51,47,58,59,61,58,54,55,54
Marshall Islands,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,10,11,13,13,12,9,9,12,13,14,14,15,14,14,14,12,12,12
Marshall Islands,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,10,8,7,6,7,6,4,7,5,5,4,6,6,6,6,7,7,6
Marshall Islands,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,213,186,160,151,168,148,115,205,162,158,139,192,208,233,202,225,263,243
Marshall Islands,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,56,58,62,65,69,73,76,81,86,86,92,96,97,97,98,99,102,106
Marshall Islands,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,42,43,47,49,52,55,57,61,65,64,69,72,73,73,74,74,77,80
Marshall Islands,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,General government expenditure ,Million NCU,65,72,73,69,72,118,88,101,94,95,95,96,96,103,92,103,115,136
Micronesia (Federated States of),Current Health Expenditure (CHE) per Capita in US$,,168,190,179,220,271,417,257,270,302,338,376,394,388,371,361,378,397,425
Micronesia (Federated States of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8,8,8,10,12,18,11,11,12,13,13,13,12,12,12,13,13,12
Micronesia (Federated States of),Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,28,27,27,27,24,18,30,27,29,21,21,26,24,26,31,29,30,28
Micronesia (Federated States of),Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,5,5,5,5,4,3,5,4,4,4,3,3,3,3,3,3,3,2
Micronesia (Federated States of),Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,2,2,2,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3
Micronesia (Federated States of),Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,38,41,38,48,52,63,63,60,74,59,66,91,81,85,102,97,108,110
Micronesia (Federated States of),Domestic Private Health Expenditure (PVT-D) per Capita in US$,,9,10,11,12,13,14,14,13,13,14,13,13,12,11,11,11,11,11
Micronesia (Federated States of),Out-of-Pocket Expenditure (OOPS) per Capita in US$,,8,9,10,11,12,13,13,12,12,13,12,12,11,10,10,10,10,10
Micronesia (Federated States of),Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),General government expenditure ,Million NCU,157,154,143,164,142,149,153,152,156,178,200,203,213,189,173,176,205,234
Mongolia,Current Health Expenditure (CHE) per Capita in US$,,27,26,30,27,33,38,50,67,98,77,99,135,168,178,175,167,163,149
